MST|RFID
999999990|6637610
999999991|1844221
999999992|1481485
999999993|1504065
999999994|1454946
999999995|1427026
999999996|1448901
999999997|1452520
999999998|1480026
999999999|1490569
